materialnummer;bezeichnung
15389;Ronde Au900 D21,70  8,6g  KP
15392;Stauchbacke doppelte Schuler ROH
15393;Gegenring doppelte Schuler ROH
15394;Ronde Ag500 D35,85 14g GEW
15395;Ronde Ag999 D35,85 14,0g GEW
15396;"Etikett 50x12 auf Rolle""Karajan 08"""
15399;Rollierstraße für Azeri 50 Qapik
15400;Ronde Ag999,7 D36,83  31,13g Zukauf
15402;Ronde Au999,9 D21,85 10g GST
15403;Ronde Au999,9 D22,0 10g ROH
15404;Stülpkarton 215x215x80 1Unze Ag (Tubes)
15405;Stahl  K110  40,4x30,4x1030 mm
15406;Ronde Au900 D21,85 8,6g ROH
15408;Azerb.Set P.Aliyev 1 Au999,9 - 1oz - D37
15409;Azerb.Set P.Aliyev 2 Au999,9 - 1oz - D37
15410;Azerb.Set P.Aliyev 3 Au999,9 - 1oz - D37
15411;Azerb.Set P.Aliyev 4 Au999,9 - 1oz - D37
15413;Azerb.Set P.Aliyev 6 Au999,9 - 1oz - D37
15414;G.C.Azerb. P.Aliyev  Au999,9 - 1oz - D37
15419;Ronde Ag500 D36,25 14g ROH
15422;Werkzeug für Azerbeidschan 6er Serie
15423;Werkzeug für Azerbeidschan Culture-Serie
15424;Werkzeug für Azerbeidschan President
15428;Ronde Au999,9 D36,65 1oz GST GEW
15439;Zain Au999,9 135x42x350 roh (ARGOR)
15440;Bohrwendeplatte XCNT 10T304EN CCN2440
15441;HM-Wendeplatte SDNT 09T308SR-29 CWX26
15442;Ronde Au999,9 D13,80  1,244 g  GEW
15448;IMM/R18/100 Goldkr. KFJ Au585/415 D18
15449;IMM/R18/1 Dukat Leopold I- Au585/415 D18
15450;IMM/R18/Doppelsov.DÒr MT-Au585/415 D18
15451;IMM/R18/Dukatenkl.Türkenb. Au585/415 D18
15452;IMM/R18/Gulden Herz.Albr.IIAu585/415 D18
15453;IMM/R18/Dukat Erzh.Leopold Au585/415 D18
15454;IMM/R18/Dukat Erzh.Karl1587Au585/415 D18
15455;IMM/R18/Dukat Matth.II 1616Au585/415 D18
15457;Ronde Au999,9 D18,20 3,13g ROH
15458;Ronde Au999,9 D22,20 7,81g ROH
15459;Ronde Au999,9 D27,20 15,59g ROH
15460;Ronde Au999,9 D13,8 1,244g ROH
15461;Ronde Ag999 D14,85  2,0g GEW
15462;"Gold Coin""10 ans BCL"" Au999  D23 1/3Oz"
15463;Ronde Ag999 D15,0 2,0g  ROH
15464;Ronde Au999,9 D32,20 31,16g ROH
15469;Ronde Ag999 D385 30600g Zukauf
15478;Ronde Au585/415 D18 2g ROH
15479;Ronde Au585/415 D17,85 2g GST GEW
15480;Ronde Au585/415 D17,85 2g VERG  HF
15485;Ronde Au999,9 D22,83 10,37g GST KP
15487;Ronde Au999,9 D23,00 10,37g ROH
15488;Ronde Au750/Ag125/Cu D13,98 1,36g
15489;Göstling-Verdienstmed. Silber Ag999 D30
15490;Göstling Anstecknadel  Silber Ag999 D15
15491;IMM/K&K/KuK Marine - Ag333 D40 20g
15492;Ronde Au999,9 D99,3  1.000g
15493;Coil Ag800 85x15mm -1 gefräst
15495;Ronde Au585/Ag200/Cu200/Zn D23,6 10g KP
15496;Bleche Au750/Ag125/Cu125
15499;Latvia/Gold Coin Au999,9 D22 10,0g
15501;Gewebestausack 90x120cm 90gr/qm
15502;Fan Coilfilter FPOL -R  745x205x6mm
15503;"""Holzetui - Erle"" für Fa. JAF"
15504;Gegenring für Schuller RS50
15505;Staucheinsatz für Schuller RS50
15508;Rolliereinsatz für Schuler RS50
15509;Schuler 1-fach Grundkörper gerade
15518;Rolliereins. f.Schuler RS50 HM
15519;Ronde Au585/Ag200/Cu200/Zn D23,6 10g ROH
15520;Ronde Au917/Ag40/Cu43/ D29,8 17g ROH
15521;Ronde Au917/Ag40/Cu43/ D29,6 17g KP
15522;Gegenring für Schuler RS50
15523;IMM/Staatsv.Ö Nachb.Hilfe  Ag999 D40 20g
15524;IMM/Staatsv. Ö.Literatur  Ag999 D40 20g
15525;IMM/Staatsv. Linz-Graz-Ku  Ag999 D40 20g
15526;IMM/Staatsv. Zita L.K.  Ag999 D40 20g
15527;IMM/Staatsv. BP. 2. Rep.  Ag999 D40 20g
15528;IMM/K&K/Mayerling - Ag333 D40 20g
15529;IMM/K&K/K.Franz I- Ag333 D40 20g
15530;IMM/K&K/Prag Fenstersturz- Ag333 D40 20g
15531;IMM/K&K/Andreas Hofer - Ag333 D40 20g
15533;ALT!!!Tintenpatrone Br. MFC-260C LC970BK
15534;ALT!!! Tintenpatrone Br. MFC-260C LC970Y
15535;ALT!!!TTintenpatrone Br. MFC-260C LC970C
15536;ALT!!! Tintenpatrone Br. MFC-260C LC970M
15538;Stahl  M238 Ringe 363x267x33 geschm.gegl
15540;Stahl  K110  110,4x20,4x1030 mm
15545;Ronde Au999,9 D27,65 15,553g GST KP
15546;Ronde Ag925 D27,70 8,52g GST KP
15547;Ronde Au999,9 D38,85 62,31g  KP
15548;Ronde Au999,9 D99,5  500g
15552;Etui Coop.Österr.-Ungarn
15555;IMM/EURO 2008 Gold Au585/415 D40
15557;Ronde Au585/415 D39,80 25g verg. PF
15559;Ronde Au585/415 D39,80 25g GST KP
15560;Ronde Au585/415 D39,95 25g ROH
15569;Stahl  K460  10x30 mm  ground flats
15570;IMM/R/Ferd. III 8 Dukaten  Au585/415 D20
15571;IMM/R/Karl VI Dukat 1740 Au585/415 D20
15572;IMM/R/Ferd. II 20 Dukaten  Au585/415 D20
15573;IMM/R/Joseph I 24 Dukaten  Au585/415 D20
15574;Ronde Au999,9 D39,05 62,31g ROH
15575;Ronde Ag999 D34,0 15g ROH
15576;Ronde Ag999 D33,80 15g KP
15577;Ronde Ag333 D35,85 14,66g GEW
15579;Ronde Au900/Ag60/Cu40 D24,85 8,64g GEW
15580;Ronde Au900/Ag60/Cu40 D25,05 8,64g ROH
15581;Grossloge Öst/Drei Ringe Br D50 pat.lack
15582;Doppeladler klein Messing verg.
15583;Doppeladler mittel Messing verg.
15584;Doppeladler groß Messing verg.
15585;IMM/R18/ Ferd. III Dukat- Au585/415 D18
15586;IMM/R18/ Karl VI Dukat- Au585/415 D18
15587;IMM/R18/ Ferd. II Dukat- Au585/415 D18
15588;IMM/R18/ Joseph I Dukat- Au585/415 D18
15599;Doserl D36/AD41/Innenr.f.D23 OT+UT     B
15601;Plättchen Ag925 29,80x40,80 f. BP ROH
15602;Ronde Ag925 29,80x40,80 f. BP
15603;Ronde Au750/Ag125/Cu125 D30,0 31,0g KP
15604;Plättchen Au999,9 14,94x8,64  1g
15605;Plättchen Au999,9 31,34x18,39  10g
15608;Ronde Ag333 D36,05 15g ROH
15609;Ronde Ag333 D35,80 15,0g GEW
15618;IMM/K&K/Ostarrichi 996 - Ag333 D40 20g
15619;IMM/Staatsv. Trapp-Fam.  Ag999 D40 20g
15628;Doserl D37/AD44,38/IH3,3   OT+UT       B
15629;Holzetui Mahagoni 85x85x12+12
15630;Ronde Au900 D24,85 17,28g GST GGL
15632;IMM/K&K/Bau Stephansdom - Ag333 D40 20g
15633;IMM/K&K/Ferdinand I - Ag333 D40 20g
15634;IMM/K&K/Augsb.Rel.friede - Ag333 D40 20g
15635;IMM/K&K/Attentat Sarajevo Ag333 D40 20g
15636;IMM/K&K/Maria Theresia - Ag333 D40 20g
15637;IMM/K&K/Gründ. Uni Wien - Ag333 D40 20g
15638;IMM/K&K/Prinz Eugen - Ag333 D40 20g
15639;IMM/K&K/Heirat Habsburge - Ag333 D40 20g
15640;IMM/K&K/Beginn Industrie - Ag333 D40 20g
15641;IMM/Staatsv. Herz Europas  Ag999 D40 20g
15642;Ronde Au999,9 D10,85 0,5g ROH
15644;Schulz/Gold Med. Au999,9 1oz D37
15645;Schulz/Gold Med. Au999,9 1/2oz D28
15646;Schulz/Gold Med. Au999,9 1/4 oz D22
15647;Schulz/Gold Med. Au999,9 1/10 oz D16
15648;Schulz/Gold Med. Au999,9 5oz D50
15649;Schulz/Gold Med. Au999,9 10oz D50
15650;Ronde Au750/Ag125/Cu D30,0 31,0g ROH
15658;Ronde Br D39,80 28g GST
15660;Etui/Finflex blue color 80x80/D40+Dos.
15661;Urwerkzeug/Schulz 1/10 oz bis 10 oz
15662;Georgia/Olympia Au900 D22 10g
15663;Georgia/Olympia Ag925 D37 24g
15664;Georgia/Olympia Ag925 D38,61 28,28g
15666;Ronde Ag333 D35,85 14,66g GEW (36,25)
15667;Ronde Ag333 D35,85 14,66g GEW
15668;Ronde Ag333 D36,15 14,66g ROH
15670;Thailand/50 Stang D18 2,40g
15671;Scheidm. Gold 900,0
15672;Thailand/1 Baht D20 3,40g
15673;Saudi Arab. Gold Medal Au999,9 D60 200g
15675;Mag Salzburg Med. Au999,9 D13,92
15676;Mag Salzburg Med. Ag999 D40 20g
15678;Ronde Ag333 D35,85 14,0g GEW
15679;Ronde Ag999 D39,85 30g KP
15680;Ronde Ag999 D44,85 45,0g KP
15681;Ronde Ag999 D15,85 2g KP
15683;Bank Austria/800 J.Gmünd  Ag999 D40 20g
15685;Syria/25 Pound com. D25 8,4g
15686;Etui Mag.Salzburg Finflex 8x8 blue color
15692;Ronde Ag333 D36,25 14g ROH
15694;Etui Mag.Salzburg Finflex 8x8 red colour
15695;EK-DL Pauschale
15696;FIBU-DL Pauschale
15697;STAHL  K340 280x50x330 gegl. ISODUR
15698;Aufspannplatte PS/N
15699;Klammer oben PS/N
15700;Klammer unten                       PS/N
15701;Keile gross PS/N
15702;Ronde Ag999 D16,0 2,0g ROH
15704;Ronde Ag999 D45,10 45,0g ROH
15705;Stahl  K460  25x25x500 mm ground flats
15706;Stahl  K340  70x66x860 mm  ISODUR
15707;Stahl  K340  70x66x170 mm  ISODUR
15708;ALT!!Stahl K460 25x25x500mm ground flats
15709;Ronde Ag999 D40,10 30,0g ROH
15710;Stahl K110 vorgearb. 90,3x50,4x1000mm
15711;Stahl K110 vorgearb. 90,3x80,4x1000mm
15712;Stahl  CF-H40S/HIP 250x150x20 HM-Block
15721;Ireland/1 Cent NP
15722;Ireland/2 Cent NP
15723;Ireland/5 Cent NP
15724;Doserl D21,95/AD27  OT+UT+Ring f.D13,92B
15725;Ronde Ag925 D27,95 8,52g ROH
15726;Ronde Au999,9 D89,8  1.000g GEB
15728;Austro Control Ag999 D30 12g
15729;Etui/Austro Control/Finflex blue color
15730;Ronde Au900 D15,75 1,75g ROH
15731;Ronde Ag999 D17,95 5,0g ROH
15732;Ronde Ag999 D36,85 31,103g KP
15734;Stahl  K890  D40,8  MICROCLEAN
15735;Stahl  S690  D41  IBOECOMAX MICROCLEAN
15736;Pille 25 € Bimetall NIOB goldgelb
15738;25 EUR Jahr d.Astronomie Ag Hgh EINGEDOS
15747;Ronde Ag999 D37,85 31,103g  ROH
15748;Ronde Ag999 D37,55 31,103g  PP KP
15749;Ronde Au D34,90 40g (Syria)  ROH
15750;Ronde Au999,9 D34,65 40g  (Syria) PP KP
15751;Prägest. Syria Silver Med. D38 PP AV08
15752;Prägest. Syria Silver Med. D38 PP RV08
15753;Prägest. Syria Gold Med. D35 PP AV08
15754;Prägest. Syria Gold Med. D35 PP RV08
15774;5 EUR Tiroler Freih.1809  Ag HGH geprägt
15791;"Zertifikat 100EUR ""Erzherzogshut"""
15792;"Schuber Chromolux ""Erzherzogshut"""
15793;"Zertifikat 50EUR ""Theodor Billroth"""
15794;"Schuber Chromolux  ""Th. Billroth"""
15795;"Zertifikat 25EUR ""Jahr d.Astronom."
15796;"Schuber 25EUR ""Jahr d. Astronomie"""
15797;"Zertifikat 20 EUR Ag ""Elektr. Bahn"""
15798;"Schuber Chromolux ""Elektr. Bahn"""
15799;"Zertifikat 20 EUR ""Bahn d. Zukunft"""
15800;"Schuber Chromo""Bahn d. Zukunft"""
15801;"Folder 10 EURO HGH ""Der Basilisk"""
15802;"Zertifikat 10 EUR ""Der Basilisk"""
15803;"Schuber Telta ""Der Basilisk"""
15804;"Folder 10EUR HGH""Rich. Löwenherz"""
15805;"Zertifikat 10EUR ""Rich. Löwenherz"""
15806;"Schuber Telta ""Rich.Löwenherz"""
15807;"Münzdisplay 5EUR/30+1ST""200.Haydn"""
15808;"Folder 5EU ""200T.tag Haydn""MOT.blau"
15809;"Folder 5EU ""200T.tag Haydn""MOT.grün"
15810;"Folder 5EUR HGH ""200.T.Tag Haydn"""
15811;"Folder 5 EUR HGH ""Tiroler Freiheit"""
15812;Wallets KMS EURO HGH 2009
15814;Doserl D38/IH3,5  OT+UT                B
15815;Doserl D35 OT+UT                       B
15817;Coil Ag333 85x15mm -1 gefr.
15819;Cyprus/Silver Coin Ag925 D38,61 28,28g
15820;Ronde Ag925 D39,57 27,6g GEW
15822;Flügelrad - Abzeichen
15830;Plättchen Au999,9 31,3x18,35  10g GEW PF
15833;Ronde Ag925 D39,85 27,60g ROH
15836;Weiterverrechnung div. Aufwände
15837;Ronde Au999,9 D13,82 1,244g GEW
15839;Ronde Au999,9 D23,85 7,8g KP
15845;Ronde Au999,9 D13,82 1,244g ROH
15847;Ronde Au999,9 D24,0 7,80g ROH
15848;Ronde Au585/Ag265/Pd150 D31,85 16,85 g
15858;Coil Au986,1 77x10mm - 1 ROH
15859;Etui Wipa 08
15860;Messingschilder verg. bedruckt 61x21,5mm
15862;"Etikett 50x12 auf Rol""Tir.Freih.09"
15863;Abdampfschalen flach Porzellan 260 ml
15864;Abdampfschalen flach Porzellan 520 ml
15865;Pipettenspitzen 2-200µl
15866;Messkolben 50 ml +/-0,06 ml NS 12/21
15867;ICP Proben Abfluss Kapillarschlauch 2m
15868;ICP Luftfilter OD165x238 (Fa. Spectro)
15869;ICP Filtermatte 888x385x20 (Fa. Spectro)
15870;ICP Filterrahmen 80x80   (Fa. Spectro)
15871;ICP Zerstäuber Cross Flow (Fa. Spectro)
15872;ICP Fackel  (Fa. Spectro)
15873;Münzsäckchen/Papier 15x10,5cm (f. Falsa)
15874;Millipore Quantium IX Hochreinigungss.
15875;Tüpfelplatten
15876;Hartkapellen Nr.2 Durchmesser 26m
15877;ALT!!!Probierblei Folie 0,1x40mm
15878;Neodisher N Geschirrspülmittel 5 Liter
15879;Neodisher FLA Geschirrspülmittel 10 L
15880;Coil Ag333 85x2,5MM 2xvorge.1xgeglü
15882;Ronde Ag925 D72,75 171,75g ROH
15883;Ronde Ag925 D72,70  171,75g SLG
15884;Ronde Au916,7/Ag30/Cu D32,19 33,931g
15885;Ronde Au916,7/Ag30/Cu D16,05 3,393g
15886;Ronde Au999,9 1 Unze Swiss Castell Mint
15887;Ronde Au999,9 1/10 Unze Swiss Castell Mi
15888;Ronde Au900/Ag60/Cu D26,518  16,718g
15889;Ronde Ag999 D40,09 31,104g
15890;Ronde Ag900 D30,33 12,5g
15891;Ronde Ag900 D17,63  2,5g
15892;Ronde Ag900 D37,49  27,13g
15893;Ronde Ag999 D76,20  299,0g
15894;Liban/100 L.Pounds D22,50 4g
15895;Liban/250 L.Pounds D23,50 5g
15896;Liban/500 L.Pounds D24,50 6g
15898;Liban/250 L.Pounds D23,50 5g gepr.
15899;Liban/500 L.Pounds D24,50 6g geprägt
15904;Ronde Au999,9 D32,39  31,108g ROH
15905;Ronde Au999,9 D32,39  31,108g ROH klass
15906;Ronde Au999,9 D16,25  3,111g ROH
15907;Ronde Au999,9 D16,25  3,111g ROH klass
15911;Ronde Ag900 D30,53 12,5g ROH
15912;Ronde Ag900 D17,83  2,5g ROH
15913;Ronde Ag900 D37,49  27,33g ROH
15914;Ronde Ag999 D76,20 299,0g ROH
15915;Faltkarton für Proof Set 2009
15916;"Zertifikat  ""KMS PP"" 2009"
15917;Ronde Au585/Ag265/Pd150  D32,10 16,85g
15919;Kalendermedaille 2010 Ag900 D40 26g
15920;Kalendermedaille 2010 Ag900 verg.D40 26g
15921;Kalendermedaille 2010 Au585/415 D40 28g
15922;Glückjeton 2010 Br D21,50 4g
15923;Glückjeton 2010 Ag900 D21,50 5g
15926;Ronde Ag999 D84,0  300g
15927;Ronde Au999,9 D35,65 31,103g  GST KP
15928;Latvia/Collector Coin Ag925 D35 mit WZG
15929;Ronde Ag925 D34,75 22g GST KP roll.
15930;Ronde Ag925 D34,90 22g ROH
15932;Coil Ag800 70x15mm -1
15933;Rohling Gr.3/146 D51,8 S690 zylind.
15934;Rohling Gr.3/151 D51,8 S690 zylind.
15936;Kunstmed. Samlerhuset  Ag999 D100  1000g
15938;Ronde Ag925 D63,10 168,1g ROH
15939;Doserl D89,2 OT+UT+ Innenri. f.75/63   B
15941;Etui Eidechspapier blau OeNB-Logo D20
15942;OeNB/Gebäude Neu  Ag999 D20 3,5g
15943;OeNB/Gebäude  Neu Au986,1 D20 5,1g
15944;OeNB/Gebäude  Neu Pt999,5 D20 6,6g
15949;Etui Universal Sichtfläche 180x188mm
15951;Ronde Au999,9 D24,70 10,08g KP
15958;Sammelalbum 5€
15967;Ronde Au999,9 D25,10 10,08g ROH
15969;LDPE-SG-Säcke  260x370/0,18/5Baisa
15970;LDPE-SG-Säcke  260x370/0,18/10Baisa
15971;Etui f.Doserl D95,17Finflex blau 125x125
15972;Ronde Au917/Ag40/Cu D21,85  8,48g
15973;Ronde Ag925 D38,42mm 33,62g
15975;Ronde Au999,9 D13,97  1,2442g ROH
15976;Ronde Au917/Ag40/Cu43 D22,05 8,48g ROH
15978;Ronde Ag925 D38,65 33,62g ROH
15980;SAMA Ag999 D40 31,1g EfG geprägt
15981;Ronde PT999,5 D13,88 3,295g  GST KP
15982;Ronde PT999,5 D21,85 16,96g  GST KP
15987;Ronde Au999,9 D35,95  31,1g ROH
15988;Doserl D36/AD40/IH3,5  OT+UT  D2       B
15989;SAMA Ag999 D40 31,1g EfG passiv.+verpack
15990;Prägestempel verbr. Syrien
15991;Ronde Ag999 D39,65 31,10g GST KP
15992;Ronde Ag999 D40,05 31,10g ROH
15993;Ronde Au999,9 D21,70 8g GST KP
15994;Ronde Au999,9 D22 8g ROH
15995;5 € NP gemischt ofb
15996;Ronde Pt999,5 D14,00 3,295g Zukauf
15997;Ronde Pt999,5 D22,00 16,96g Zukauf
15998;Trays D30mm / Tiefe 2,6mm / 80 ST
16008;SAMA Ag999 D40 31,1g EfG NANO
16028;Ronde Au900 D22,0 8,064g ROH
16029;Ronde Au900/Cu100 D21,63 8,064g  SLG
16038;Ronde Pt999,5 D79,50 500,0g Zukauf
16039;Weihnachtsanhänger mit Hirten 2009
16040;Ronde Au999,9 D13,82  1,2442g GST
16041;Papierrollen für 2 € SONDERMOTIV
16042;Ronde Nordic Gold D23,10 5,0g 250LP
16045;Dreieckband rot/weiss 40mm + Nad.
16046;Kartons f.Münzrollen LP250 / 91848
16047;Papierrollen für 250 Lebanese Pounds
16048;Prägestempel 250 Lebanese Pounds AV
16050;Prägering 250 Lebanese Pounds gerip.PS/N
16051;Rücklaufmaterial 250 Lebanese P. unverst
16052;Prägestempel verbr. 250 Leban.Pounds
16053;Holzkisten ExPak Typ P 780x580x400mm
16054;Coil Ag333 90x15mm -1 gefr.
16055;Ronde Stahl/Cu plat. D22,50 4,0g  100LP
16056;Ronde Stahl Ni plat.  D24,50 6,0g  500LP
16057;Prägestempel 100 Lebanese Pounds AV
16058;Prägestempel 100 Lebanese Pounds RV
16059;Prägering 100 Lebanese Pounds gerip.PS/N
16060;Rücklaufmaterial 100 Lebanese P. unverst
16061;Prägestempel verbr. 100 Leban.Pounds
16062;Papierrollen für 100 Lebanese Pounds
16063;Kartons f.Münzrollen LP100 / 91849
16065;Prägestempel 500 Lebanese Pounds AV
16066;Prägestempel 500 Lebanese Pounds RV
16067;Prägering 500 Lebanese Pounds gerip.PS/N
16068;Rücklaufmaterial 500 Lebanese P. unverst
16069;Prägestempel verbr. 500 Leban.Pounds
16070;Papierrollen für 500 Lebanese Pounds
16071;Kartons f.Münzrollen LP500 / 91847
16072;Carnuntum/Konferenz 1700 Jahre Ag900
16078;PA/PE Beutel 380x300 mm/220mµ
16079;PA/PE Beutel 400x400 mm/220mµ
16082;Sicherheitsschuh HKS Speed Gr. 36
16084;Sicherheitsschuh HKS Speed Gr. 37
16085;Sicherheitsschuh HKS Speed Gr. 38
16086;Sicherheitshalbschuh HKS Gr. 39
16087;Sicherheitshalbschuh HKS Gr. 40
16088;Sicherheitshalbschuh HKS Gr. 41
16089;Sicherheitshalbschuh HKS Gr. 42
16090;Sicherheitshalbschuh HKS Gr. 43
16091;Sicherheitshalbschuh HKS Gr. 44
16092;Sicherheitshalbschuh HKS Gr. 45
16093;Sicherheitshalbschuh HKS Gr. 46
16094;Sicherheitshalbschuh HKS Gr. 47
16095;Kunststoffpalette 600x800 schwarz
16097;Tischrechner Sharp EL 2607
16098;Klebebandabroller Scotch
16099;Ronde Au900Ag50Cu D23,75 7,07g GEW
16100;Ronde Ag925 D31,70  15,15g GEW
16101;Ronde Ag925 D32,0 15,15g ROH
16102;Ronde Au900Ag50Cu D24,0 7,07g ROH
16118;Majestic Imperator Br.verg. D40 22g
16122;Warschau/Kundenmed. Au900 D22 10g
16123;Plättchen Au999,9 18,99x11,39  2g
16124;Plättchen Au999,9 22,89x13,89  5g
16125;FeingoldplättchenAu999,9 18,95x11,35  2g
16126;FeingoldplättchenAu999,9 22,85x13,85  5g
16128;Ronde MS63 D26,80 6g GST GEW
16129;Ronde MS63 D27 6g ROH
16133;Ronde AG900 D29,0 12,0g ROH
16134;Ronde Ag900 D28,85 10,0g GEW
16135;Rücklauf Au999,0
16149;Philharmoniker Säckchen rot
16150;Latvia/50 Santims CuNi D18,80 3,5g
16151;Latvia/50 Santims CuNi D18,80 3,5g geprä
16152;Latvia/2 Santims Stahl Cu galv. D17 1,9g
16153;Konf. Carnuntum 1700J Au585, D21,5 7g
16154;Latvia/2 Santims D17 1,9g geprägt
16155;Latvia/20 Santims Cu79/Zn20/Ni1 D21,5 4g
16156;Latvia/20 Santims  D21,5 4g geprägt
16157;Latvia/5 Santims  D18,5 2,5g geprägt
16158;Grafit Kokillen 1-Band 90x15
16159;Feingoldplättchen Au999,9 14,9x8,6mm 1g
16160;FeingoldplättchenAu999,9 31,3x18,35  10g
16168;Zobl/Welttaler Nr.IV-W.Nr.153 Ag900 D52
16169;Welttaler VI, WNR805, Ag900 D52
16172;Umreifungsband GELB PP 12x0,55/200/3000m
16175;Ronde Au999 D26,85 15,58g KP
16177;Ronde Au999,9 D27,0  15,58g ROH
16178;Etikett Gold Unze gelb
16179;Nopaschaum-Zuschnitte 210x210x1mm
16180;Einlageblätter 5 Euro HGH Blister-offen
16181;Einlageblätter 5 Euro HGH Blister - zu
16182;Einlageblätter 5 Euro Trafiken - Aktion
16183;Einlageblätter 5 Euro NP
16184;IMM/Christkindltaler 2008 Ag333 D40 20g
16185;IMM/K&K/M.Antoinette - Ag333 D40 20g
16186;IMM/K&K/Wr.Kongress - Ag333 D40 20g
16187;IMM/K&K/Erzh.Ferd.Max- Ag333 D40 20g
16188;IMM/K&K/Wr.Hofkapelle - Ag333 D40 20g
16189;IMM/K&K/Karl I- Ag333 D40 20g
16192;Ronde Ag500 D35,80 15g GEW
16193;Ronde Ag500 D36,05 15g ROH
16198;Berl.Derm.Ges./Stüttgen-Med.Br.verg. D80
16199;"""Simon Wiesenthal"" Med. Ag999 D40 20g"
16200;Coil Ag333 90x2,5MM 2xvorge.2xgeglü
16210;Carnuntum Konf.1700  Au999,9 D21,5 10g
16211;Etui f.Doserl D44,40 dunkelblau 80x80mm
16218;IMM-Werkz. Schatzkammer
16220;Ronde AG900 D33,0 18,0g ROH
16221;Ronde Ag900 D32,85 18,0g GEW
16223;Klarsichthülle Rot ohne Lochrand
16224;Klarsichthülle Blau ohne Lochrand
16225;Klarsichthülle Gelb ohne Lochrand
16226;Klarsichthülle Grün ohne Lochrand
16231;Ronde Au999,9 D36,85 29,80g GST
16233;IMM/SCH/Rudolfskrone  Ag333 D40 teilverg
16234;IMM/SCH/Zepter Rud.Kr.  Ag333 D40 teilv.
16235;Luxenburg/Ag/Nb Chat.Vianden D34 16,6g
16236;Luxenburg/Au Historic Culturelle
16237;Granalien Ag999,9  BEISTELLUNG
16238;Ronde Au585/Ag415 D20,8 3,49g vergoldet
16241;Ronde Au585/Ag415 D31,85  22,7g verg.
16242;Grafit Kokillen 1-Band 85x20
16243;Stahl  W360  D111,5  ISOBLOC
16244;ALT!!Tinte HPNo88OfficejetProK550yellow
16245;ALT!!Tinte HPNo88OfficejetProK550cyan
16246;ALT!!Tinte HPNo88OfficejetProK550magenta
16247;ALT!!!Tinte HPNo88OfficejetProK550 Black
16248;20 Unzen Bullion Wr. Philharm.
16249;Holzetui für 20 Unzen Wr. Philharmoniker
16250;Coil Ag900 135x15mm -1 gefräst
16251;TU-Wien/Prechtl-Med. Br.pat. D60
16252;Stehsammler Leitz (schwarz)
16253;TU-Wien/Plakette Br.pat. 120x80x2mm
16254;Malaysia/Barren-Stempel 1 Paar
16255;XXXHandschuhe TAG MEX N 979, Gr. 8XXX
16256;XXXHandschuhe TAG MEX N 979, Gr. 9XXX
16257;XXXHandschuhe TAG MEX N 979, Gr. 10XXX
16258;ALT!!! HP CB540A Print Cartridge black
16260;ALT!!! HP CB541A Print Cartridge cyan
16261;ALT!!! HP CB543A Print Cartridge magenta
16262;ALT!!! HP CB542A Print Cartridge yellow
16263;IMM/SCH/Reichsapfel  Ag333 D40 teilverg
16268;Farbband f.Tischrechner SHARP EL2901
16270;Federteller PS/N Gräbener 156
16271;Keilspindel für MPU 156  PS/N
16272;Keilmitnehmer für MPU 156  PS/N
16273;Druckstückhalterung UNTEN MPU 156  PS/N
16274;Ronde Au999,9 D36,95  24,90g ROH
16275;Ronde Au999,9 D36,70 24,90g  KP
16276;IMM/R18/ Erzh. Max.- Au585/415 D18
16277;IMM/R18/ Ferdinand I 1848- Au585/415 D18
16278;IMM/R18/ Franz I Stephan- Au585/415 D18
16279;ALT!Toner Officejet pro K5400 88XL Black
16280;ALT!Toner HP Officejet pro K5400 Magenta
16281;ALT!!Toner HP Officejet pro K5400 Jellow
16282;ALT!!! Toner HP Officejet pro K5400 Cyan
16285;Ronde Au917/Ag40/Cu D21,85  6,78g KP
16287;Ronde Au999,9 D26,10  10,37g  UGST
16288;Etui D40 Hartplastik rot
16305;1 EURO CENT  NP 2010
16306;2 EURO CENT  NP 2010
16307;5 EURO CENT  NP 2010
16308;10 EURO CENT  NP 2010
16309;20 EURO CENT  NP 2010
16310;50 EURO CENT  NP 2010
16311;1 EURO  NP 2010
16312;2 EURO  NP 2010
16313;1 EURO CENT  NP 2011
16314;2 EURO CENT  NP 2011
16315;5 EURO CENT  NP 2011
16316;10 EURO CENT  NP 2011
16317;20 EURO CENT  NP 2011
16318;50 EURO CENT  NP 2011
16319;1 EURO  NP 2011
16320;2 EURO  NP 2011
16329;Ronde Au999,9 D27,65 15,55g GST
16330;"Ronde Br D39,80 22g GST GEW ""gelb"""
16331;Ronde Au900Ag50Cu D24,00 7,07g UGST
16332;Ronde Au917/Ag40/Cu D22,05  6,78g ROH
16334;Syria/Silver M .H.R. Ag999 D38 31,103g
16336;Ronde Ag900 D30,90 15,0g SLG
16337;PA/PE Beutel 470x470 mm/220mµ
16338;PA/PE Beutel 250x250 mm/240mµ
16339;Ronde Au999,9 D21,60 8,0g KP
16340;Ronde Ag900 D31,15 15g ROH
16341;Irland/Euro Coin Set Proof 2009
16342;Shell Corena S4 P 100
16344;Irland/2 Euro Com. Proof 2009
16345;Ronde Au999,9 D21,95  8,0g  ROH
16346;Coil Au920/Ag40/Cu40  60x10 -2
16347;"Sammelalbum 10 Euro ""Sagen und Legenden"""
16348;IMM/SCH/Kreuznagel  Ag333 D40 teilverg
16349;IMM/SCH/Taufgarnitur  Ag333 D40 teilverg
16350;IMM/SCH/Wiege  Ag333 D40 teilverg
